"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant","GeneSymbol","EntrezID"
"100122593_TGI_at",-2.68449627323613,-5.05659060695767,-6.43372550684233,5.50054291409919e-10,1.30013461507972e-07,12.3924653202164,"Yes","MYOT",9499
"100121967_TGI_at",3.25977491461925,-1.53433636896646,6.416117732766,6.0829059398233e-10,1.42879856894025e-07,12.2964061929984,"Yes","CCNA2",890
"100157527_TGI_at",2.67885503294921,-1.01717653842882,6.41115226215306,6.25779284149008e-10,1.46074764328497e-07,12.2693519505766,"Yes","HJURP",55355
"100132449_TGI_at",-2.92641919727434,-3.54281092389088,-6.3856429587225,7.23698130248308e-10,1.65841604457268e-07,12.1306074621574,"Yes","ANGPTL6",83854
"100154691_TGI_at",3.35903079574812,-1.37964978391624,6.38427901237004,7.29337107020866e-10,1.66120891854898e-07,12.1232004327584,"Yes","BUB1B",701
"100156245_TGI_at",-2.22049525459125,-0.307385926396851,-6.35792610226513,8.47145718030995e-10,1.8838716198249e-07,11.9803172409651,"Yes","FAM59A",64762
"100161938_TGI_at",-3.90571966591857,-4.12268797964945,-6.3350383327962,9.64460309284733e-10,2.11966943529467e-07,11.8565752650414,"Yes","MT1B",4490
"100152224_TGI_at",2.38291993945709,-2.43089857024837,6.30783650422467,1.12471384040541e-09,2.43077991413501e-07,11.7099383933375,"Yes","SKA3",221150
"100142862_TGI_at",2.23962467884002,1.63334772003495,6.30772511203115,1.12542095966019e-09,2.43077991413501e-07,11.7093388715454,"Yes","NUSAP1",51203
"100143454_TGI_at",-2.09630456141979,-4.03443696670616,-6.29105466060692,1.23630803630819e-09,2.63993912616673e-07,11.61970560725,"Yes","EPHB1",2047
"100148141_TGI_at",2.70326010154747,0.213056885635003,6.28352115244461,1.28986686378421e-09,2.72335822891789e-07,11.5792573459727,"Yes","MAD2L1",4085
"100122618_TGI_at",2.95364709359437,-3.26323318390399,6.27392494380466,1.36139307271882e-09,2.85831700887814e-07,11.5277863236136,"Yes","CENPK",64105
"100154413_TGI_at",2.22413370415364,-0.335133705585084,6.22979397625975,1.74360259187369e-09,3.58076899496159e-07,11.2918355839275,"Yes","STIL",6491
"100129585_TGI_at",-3.59728593730346,-5.43253745123696,-6.21447557034471,1.8994339377473e-09,3.85862304045509e-07,11.2102245887159,"Yes","CCBE1",147372
"100157313_TGI_at",2.85175076943916,0.201122269644038,6.17625186827414,2.35021427794329e-09,4.72330229912645e-07,11.0072379640106,"Yes","HELLS",3070
"100157126_TGI_at",-2.47649823994894,-4.20017619339388,-6.12074957229762,3.19649651936888e-09,6.06720869651118e-07,10.7141682010724,"Yes","GSTM5",2949
"100134610_TGI_at",-4.15136479291156,-1.72348338725023,-6.09467627843947,3.69082082649616e-09,6.90091683091436e-07,10.5771813512512,"Yes","FCN3",8547
"100144250_TGI_at",-2.36224245480263,-3.70297502399201,-6.0883452604536,3.82171048789832e-09,7.11027344337597e-07,10.5439853892402,"Yes","FOSL1",8061
"100130530_TGI_at",-3.03496456930364,-0.8843921217064,-6.0721322765265,4.17796650737707e-09,7.63446797188154e-07,10.4590935070561,"Yes","ECM1",1893
"100158963_TGI_at",2.70709369324921,-1.18717022999938,6.06994531652202,4.22844306659185e-09,7.67697330090121e-07,10.447655608916,"Yes","CDC45L",8318
"100129795_TGI_at",-2.03561600334782,-4.90654407249022,-6.05530798228481,4.58198250784184e-09,8.23923763682833e-07,10.3711821017155,"Yes","SLC5A1",6523
"100149678_TGI_at",2.28837779538006,-1.5847775260794,6.03186612974108,5.2092717705734e-09,9.19130759068965e-07,10.2490008953027,"Yes","SGOL2",151246
"100154940_TGI_at",3.58486486047206,0.654901715458627,6.02916274563499,5.28680445080788e-09,9.24133418001218e-07,10.2349337549137,"Yes","IGSF3",3321
"100125004_TGI_at",-4.10451592398377,-4.13014348205813,-6.02714440585565,5.34542502304619e-09,9.30054459333898e-07,10.2244343897879,"Yes","RSPO3",84870
"100154465_TGI_at",2.8014135452924,-2.72238181750988,6.00887392893566,5.90582932711327e-09,1.01813246684207e-06,10.1295134514629,"Yes","",441441
"100127052_TGI_at",-3.27709096918205,-4.63719574272754,-5.98997410730448,6.54593163622507e-09,1.1081495619487e-06,10.0315539734165,"Yes","CDH19",28513
"100157051_TGI_at",2.48883441680078,-0.608043225997136,5.97675754989302,7.03336422983607e-09,1.17813108270123e-06,9.96319131281617,"Yes","RAD51",5888
"100142285_TGI_at",2.73233400110323,-0.828591100539025,5.96861159593531,7.35128333582784e-09,1.2224598687039e-06,9.92111383024824,"Yes","TCF19",6941
"100162617_TGI_at",2.76039295005471,0.18351737286407,5.9662198003879,7.44726911550668e-09,1.23296593788093e-06,9.90876747342439,"Yes","FOXM1",2305
"100144258_TGI_at",3.64105111742127,-3.19433647300241,5.94852336741191,8.19653731884647e-09,1.34516273151479e-06,9.81753684441645,"Yes","DEPDC1B",55789
"100140748_TGI_at",-2.50498646691217,-2.2368625829707,-5.94471265586445,8.36727359401539e-09,1.36721250526211e-06,9.79791859728063,"Yes","MT1P2",645745
"100130647_TGI_at",-4.06309673177535,-2.92659430497474,-5.93546465792571,8.79620977854884e-09,1.43107859695854e-06,9.75034826827941,"Yes","CRHBP",1393
"100147420_TGI_at",2.05582009718344,-0.865602841030954,5.925943752553,9.26024226297407e-09,1.48092946692379e-06,9.70143349770857,"Yes","ZNF250",58500
"100151453_TGI_at",-2.34758808343828,-5.17669324234247,-5.91789283288483,9.67123017238601e-09,1.54008433405971e-06,9.66011799493786,"Yes","AVPR1A",552
"100160651_TGI_at",2.19110629205315,0.24765363874886,5.91711066766524,9.71209587494416e-09,1.54008433405971e-06,9.65610639884019,"Yes","RNASEH2A",10535
"100135370_TGI_at",2.87855978118952,-0.623830861752448,5.90810897735273,1.01947249743536e-08,1.60308851040232e-06,9.60996755013658,"Yes","C16orf75",116028
"100146507_TGI_at",2.6545911131483,-1.9820873031947,5.89099945348178,1.11775093583506e-08,1.75030481960639e-06,9.52242034974207,"Yes","NCAPH",23397
"100149960_TGI_at",3.08737587812978,-2.79718336982518,5.88327517786632,1.16509718175499e-08,1.81343406813656e-06,9.48296029539126,"Yes","POLQ",10721
"100153497_TGI_at",-3.35367854227116,-4.30739992534831,-5.88285692565171,1.1677160462164e-08,1.81343406813656e-06,9.48082476036268,"Yes","CHST4",10164
"100162990_TGI_at",-3.46122283980197,-1.88665622880784,-5.88130853327666,1.17746137530462e-08,1.81931016328909e-06,9.47291991230268,"Yes","FOSB",2354
"100149543_TGI_at",2.28370363878522,0.943470967045781,5.87958019541602,1.18843311109879e-08,1.82300788495161e-06,9.46409830139841,"Yes","CAP2",10486
"100151447_TGI_at",-4.75387954401423,-2.69472149931995,-5.87735763641849,1.20268913480144e-08,1.83737654732145e-06,9.45275707378908,"Yes","PZP",5858
"100148210_TGI_at",-2.13740504466528,-3.56164164103337,-5.82694926907795,1.57479536158668e-08,2.34856981266471e-06,9.19642400413739,"Yes","IL1RL1",9173
"100162004_TGI_at",2.62160467356293,-3.16548195978727,5.79787110096757,1.83832467862317e-08,2.69874679968812e-06,9.04933557154819,"Yes","C12orf48",55010
"100127992_TGI_at",-2.89976740806121,-5.09964459858444,-5.76052603092672,2.24059905976148e-08,3.21397686503648e-06,8.86126893897347,"Yes","SLITRK2",84631
"100160163_TGI_at",2.97405838962847,-3.09116190042417,5.71247758743216,2.88628159188194e-08,4.01749017726322e-06,8.62069539330556,"Yes","KIF18A",81930
"100154932_TGI_at",3.18651680009419,-2.22868187470193,5.70164536807017,3.05519064802422e-08,4.17527908851077e-06,8.56667723204957,"Yes","CDCA2",157313
"100139571_TGI_at",2.22342259368164,-1.09461312334566,5.69706715074597,3.12944411332017e-08,4.2612597343043e-06,8.5438706945515,"Yes","TDRKH",11022
"100154049_TGI_at",-2.12533511916683,-3.43082238419258,-5.68953719999563,3.25541634563309e-08,4.38374452667928e-06,8.50639122432416,"Yes","GLP2R",9340
"100123332_TGI_at",2.57261818658795,-2.29607140259795,5.68891440127204,3.26605414153105e-08,4.38374452667928e-06,8.50329305450755,"Yes","KIFC1",3833
"100125902_TGI_at",3.16371440446758,-2.40063457549883,5.68712565671357,3.29679589817926e-08,4.40252589506731e-06,8.49439625797411,"Yes","HELLS",3070
"100134367_TGI_at",2.55115022940629,-0.855628941252268,5.68631827921657,3.31076392954074e-08,4.40252589506731e-06,8.49038126995248,"Yes","CAP2",10486
"100127511_TGI_at",3.96701528903034,-0.387725603993365,5.67316804332905,3.54656329261762e-08,4.6072866313956e-06,8.42504974477618,"Yes","ESM1",11082
"100129761_TGI_at",2.91719117705205,-1.79829679403494,5.62848173494885,4.47673074890036e-08,5.64578842299239e-06,8.20393300968995,"Yes","E2F7",144455
"100133601_TGI_at",2.66071227356462,-1.82973377499319,5.62491319769944,4.56050937017834e-08,5.73220946990108e-06,8.18633454499453,"Yes","KIF2C",11004
"100145059_TGI_at",2.23865825608034,-0.0262885252102925,5.62031197200015,4.67079076438727e-08,5.85125528357341e-06,8.16365630060493,"Yes","",541471
"100136078_TGI_at",2.81796574765831,-2.97953480600625,5.61068209792415,4.91007548292849e-08,6.13057996011357e-06,8.11624054116658,"Yes","SGOL1",151648
"100147508_TGI_at",3.11915037858516,1.37470633201545,5.60931786800027,4.94492588503393e-08,6.15364915931606e-06,8.10952850882655,"Yes","MDK",4192
"100122481_TGI_at",2.23741932622542,1.14300337134124,5.59832949049149,5.23456261957847e-08,6.4260793515717e-06,8.0555125259661,"Yes","ATAD2",29028
"100123538_TGI_at",2.04459633188979,-2.37434312607695,5.59168783660509,5.4175728869554e-08,6.6104942934272e-06,8.0229044770966,"Yes","C5orf54",63920
"100155449_TGI_at",-3.08314172500319,-1.60847273068316,-5.56571332678557,6.19506113998375e-08,7.43842772405334e-06,7.89567343167699,"Yes","LCAT",3931
